ADM1100 - Introduction To Business Mgmt.,,,,,,,,
,,LEC,2,R,11:30,13:00,DMS 1150,Marzena Cedzynski
,ADM2320B,LEC,1,T,16:00,17:30,DMS 1150,Ajax Persaud
,,LEC,2,R,14:30,16:00,DMS 1150,Ajax Persaud
,ADM2320C,LEC,1,M,11:30,13:00,DMS 1120,Ajax Persaud
,,LEC,2,R,13:00,14:30,DMS 1120,Ajax Persaud
,ADM2320D,LEC,1,M,16:00,17:30,DMS 1120,Ajax Persaud
,,LEC,2,W,14:30,16:00,DMS 1120,Ajax Persaud
,ADM2320E,LEC,1,T,19:00,22:00,ART 257,Gurprit Kindra
,ADM2320F,LEC,1,W,16:00,19:00,DMS 1150,Gurprit Kindra
20141,ADM2320M,LEC,1,W,19:00,22:00,DMS 1130,Marzena Cedzynski
,ADM2320N,LEC,1,M,19:00,22:00,DMS 1130,David Delcorde
,ADM2320P,LEC,1,T,08:30,10:00,DMS 1120,Marzena Cedzynski
,,LEC,2,F,10:00,11:30,DMS 1120,Marzena Cedzynski
,ADM2320Q,LEC,1,W,16:00,17:30,SMD 224,David Delcorde
,,LEC,2,F,14:30,16:00,SMD 224,David Delcorde
ADM2336 - Organizational Behaviour,,,,,,,,
20139,ADM2336A,LEC,1,M,08:30,10:00,DMS 1120,Jane O'Reilly
,,LEC,2,R,10:00,11:30,DMS 1120,Jane O'Reilly
,ADM2336B,LEC,1,T,14:30,16:00,DMS 1120,Catherine Elliott
,,LEC,2,F,16:00,17:30,DMS 1120,N/A
,ADM2336C,LEC,1,M,14:30,16:00,DMS 1120,Silvia Bonaccio
,,LEC,2,R,16:00,17:30,DMS 1120,Silvia Bonaccio
,ADM2336D,LEC,1,W,10:00,11:30,DMS 1130,Joanne Leck
,,LEC,2,F,08:30,10:00,DMS 1130,Joanne Leck
,ADM2336E,LEC,1,W,16:00,19:00,SMD 224,Magda Donia
,ADM2336F,LEC,1,R,19:00,22:00,CBY B205,Jane O'Reilly
,ADM2336G,LEC,1,T,13:00,14:30,TBT 070,Catherine Elliott
,,LEC,2,R,11:30,13:00,TBT 070,Catherine Elliott
20141,ADM2336M,LEC,1,T,16:00,17:30,MRT 205,Laurent Lapierre
,,LEC,2,R,14:30,16:00,MRT 205,Laurent Lapierre
,ADM2336N,LEC,1,W,17:30,20:30,LEE A131,Silvia Bonaccio
ADM2337 - Human Resource Management,,,,,,,,
20139,ADM2337A,LEC,1,M,13:00,14:30,DMS 1120,Magda Donia
,,LEC,2,W,11:30,13:00,DMS 1120,Magda Donia
,ADM2337B,LEC,1,T,10:00,11:30,DMS 1130,Magda Donia
,,LEC,2,R,08:30,10:00,DMS 1130,Magda Donia
,ADM2337C,LEC,1,M,19:00,22:00,SMD 224,Magda Donia
20141,ADM2337M,LEC,1,M,08:30,10:00,DMS 1130,Catherine Elliott
,,LEC,2,R,10:00,11:30,DMS 1130,Catherine Elliott
,ADM2337N,LEC,1,T,14:30,16:00,DMS 1130,Joanne Leck
,,LEC,2,F,16:00,17:30,DMS 1130,Joanne Leck
,ADM2337P,LEC,1,T,11:30,13:00,MRT 205,Joanne Leck
,,LEC,2,F,13:00,14:30,MRT 205,Joanne Leck
,ADM2337Q,LEC,1,R,19:00,22:00,DMS 1110,Catherine Elliott
ADM2341 - Managerial Accounting,,,,,,,,
20139,ADM2341A,LEC,1,M,10:00,11:30,DMS 1150,Fodil Adjaoud
,,LEC,2,W,08:30,10:00,DMS 1150,Fodil Adjaoud
,,DGD,1,T,16:00,17:30,UCU 205,N/A
,ADM2341B,LEC,1,R,19:00,22:00,DMS 1130,Fodil Adjaoud
,,DGD,1,R,17:30,19:00,SMD 422,N/A
,ADM2341C,LEC,1,W,10:00,11:30,DMS 1150,Marc Tassé
,,LEC,2,F,08:30,10:00,DMS 1150,Marc Tassé
,,DGD,1,W,13:00,14:30,TBT 0019,N/A
20141,ADM2341M,LEC,1,M,16:00,17:30,DMS 1120,Shujun Ding
,,LEC,2,W,14:30,16:00,DMS 1120,Shujun Ding
,,DGD,1,T,17:30,19:00,MNT 103,N/A
,ADM2341N,LEC,1,T,10:00,11:30,DMS 1130,Robert Bergquist
,,LEC,2,R,08:30,10:00,DMS 1130,Robert Bergquist
,,DGD,1,W,12:00,13:30,LMX 342,N/A
,ADM2341P,LEC,1,M,13:00,14:30,DMS 1130,Shujun Ding
,,LEC,2,W,11:30,13:00,DMS 1130,Shujun Ding
,,DGD,1,R,17:30,19:00,LMX 242,N/A
,ADM2341Q,LEC,1,T,13:00,14:30,FSS 1030,Robert Bergquist
,,LEC,2,R,11:30,13:00,FSS 1030,Robert Bergquist
,,DGD,1,M,17:30,19:00,SMD 428,N/A
,,DGD,2,N/A,0,0,N/A,N/A
,ADM2341R,LEC,1,W,19:00,22:00,TBT 070,Shujun Ding
,,DGD,1,W,17:30,19:00,STE J0106,N/A
ADM2342 - Intermediate Accounting I,,,,,,,,
20139,ADM2342A,LEC,1,T,08:30,10:00,DMS 1110,Robert Collier
,,LEC,2,F,10:00,11:30,DMS 1110,Robert Collier
,,DGD,1,R,11:30,13:00,LMX 342,N/A
20141,ADM2342M,LEC,1,M,11:30,13:00,DMS 1130,Brian Conheady
